experimentNumber initConf partConf #F 	 #T 	 Tr 	 Lr 	 STEP1_solution_found 	 STEP2_solution_found 
1 1 1 0 1 1.406119 0.636364 1 1
2 1 2 0 0 2.120315 1.000000 1 1
3 1 3 1 1 3.321011 1.045455 1 1
4 2 1 0 1 1.947354 0.941176 1 1
5 2 2 0 1 1.496165 0.592593 1 1
6 2 3 0 1 1.921250 0.941176 1 1
7 3 1 0 0 1.952308 1.000000 1 1
8 3 2 1 0 3.079586 1.000000 1 1
9 3 3 0 0 1.935727 1.000000 1 1
