experimentNumber initConf partConf #F 	 #T 	 Tr 	 Lr 	 STEP1_solution_found 	 STEP2_solution_found 
1 1 1 1 1 4.917210 1.954545 1 1
2 1 2 0 0 1.955353 1.000000 1 1
3 1 3 0 0 2.083018 1.000000 1 1
4 2 1 1 1 4.001610 1.461538 1 1
5 2 2 0 0 2.037507 1.000000 1 1
6 2 3 0 0 1.997980 1.000000 1 1
7 3 1 0 0 1.896697 1.000000 1 1
8 3 2 0 1 1.517748 0.800000 1 1
9 3 3 0 1 1.504041 0.800000 1 1
