experimentNumber initConf partConf #F 	 #T 	 Tr 	 Lr 	 STEP1_solution_found 	 STEP2_solution_found 
1 1 1 1 1 3.550071 1.111111 1 1
2 1 2 0 0 2.478356 1.000000 1 1
3 1 3 0 1 1.321437 0.562500 1 1
4 2 1 0 1 1.775385 0.782609 1 1
5 2 2 0 0 1.963370 1.000000 1 1
6 2 3 1 1 3.893104 1.260870 1 1
7 3 1 1 0 3.464968 1.562500 1 1
8 3 2 0 1 1.990509 0.777778 1 1
9 3 3 0 1 1.808051 0.875000 1 1
