experimentNumber initConf partConf #F 	 #T 	 Tr 	 Lr 	 STEP1_solution_found 	 STEP2_solution_found 
1 1 1 0 1 - - 1 0
2 1 2 0 0 3.371016 1.000000 1 1
3 1 3 1 0 6.259958 1.875000 1 1
4 2 1 0 2 - - 1 0
5 2 2 0 1 - - 1 0
6 2 3 1 0 2.954251 1.105263 1 1
7 3 1 0 1 - - 1 0
8 3 2 0 2 - - 1 0
9 3 3 0 1 1.890396 0.833333 1 1
