experimentNumber initConf partConf #F 	 #T 	 Tr 	 Lr 	 STEP1_solution_found 	 STEP2_solution_found 
1 1 1 0 1 1.431421 0.625000 1 1
2 1 2 0 1 1.841695 0.937500 1 1
3 1 3 0 0 2.120271 1.000000 1 1
4 2 1 0 0 2.023948 1.000000 1 1
5 2 2 1 0 2.592208 1.235294 1 1
6 2 3 0 1 1.121569 0.647059 1 1
7 3 1 1 1 3.135487 1.090909 1 1
8 3 2 0 0 2.137220 1.000000 1 1
9 3 3 1 1 3.172878 1.090909 1 1
