experimentNumber initConf partConf #F 	 #T 	 Tr 	 Lr 	 STEP1_solution_found 	 STEP2_solution_found 
1 1 1 1 1 4.849802 1.294118 1 1
2 1 2 0 1 3.580988 0.882353 1 1
3 1 3 1 1 5.108580 1.294118 1 1
4 2 1 1 1 5.068914 1.136364 1 1
5 2 2 1 2 45.000000 45.000000 1 0
6 2 3 1 2 7.531829 1.136364 1 1
7 3 1 0 0 3.913841 1.000000 1 1
8 3 2 0 1 45.000000 45.000000 1 0
9 3 3 0 0 3.555167 1.000000 1 1
