experimentNumber initConf partConf #F 	 #T 	 Tr 	 Lr 	 STEP1_solution_found 	 STEP2_solution_found 
1 1 1 0 2 2.452882 0.740741 1 1
2 1 2 0 2 2.352769 0.800000 1 1
3 1 3 0 3 - - 1 0
1 1 1 0 2 2.666997 0.740741 1 1
2 1 2 0 2 2.218540 0.800000 1 1
3 1 3 0 3 - - 1 0
4 2 1 0 3 2.631199 0.827586 1 1
5 2 2 0 3 2.047550 0.827586 1 1
6 2 3 1 5 - - 1 0
7 3 1 0 3 3.165442 0.818182 1 1
8 3 2 0 3 2.533364 0.882353 1 1
9 3 3 1 4 - - 1 0
