experimentNumber initConf partConf #F 	 #T 	 Tr 	 Lr 	 STEP1_solution_found 	 STEP2_solution_found 
1 1 1 0 0 0.000000 0.000000 0 0
2 1 2 0 0 0.000000 0.000000 0 0
3 1 3 0 0 0.000000 0.000000 0 0
4 2 1 0 0 0.000000 0.000000 1 0
5 2 2 0 0 0.000000 0.000000 1 0
6 2 3 0 0 0.000000 0.000000 1 0
7 3 1 0 0 0.000000 0.000000 0 0
8 3 2 0 0 0.000000 0.000000 0 0
9 3 3 0 0 0.000000 0.000000 0 0
