experimentNumber initConf partConf #F 	 #T 	 Tr 	 Lr 	 STEP1_solution_found 	 STEP2_solution_found 
1 1 1 1 0 3.524264 1.409091 1 1
2 1 2 0 0 2.055403 1.000000 1 1
3 1 3 0 0 2.098691 1.000000 1 1
4 2 1 1 0 3.000545 1.000000 1 1
5 2 2 0 0 1.987343 1.000000 1 1
6 2 3 0 0 1.990085 1.000000 1 1
7 3 1 0 0 1.985980 1.000000 1 1
8 3 2 0 1 1.485493 0.800000 1 1
9 3 3 0 1 1.453431 0.800000 1 1

