experimentNumber initConf partConf #F 	 #T 	 Tr 	 Lr 	 STEP1_solution_found 	 STEP2_solution_found 
1 1 1 1 1 4.715918 1.294118 1 1
2 1 2 0 1 4.009678 0.882353 1 1
3 1 3 1 1 5.886258 1.294118 1 1
4 2 1 1 1 5.208097 1.136364 1 1
5 2 2 1 2 45.000000 45.000000 1 0
6 2 3 1 2 7.605071 1.136364 1 1
7 3 1 0 0 3.894544 1.000000 1 1
8 3 2 0 1 45.000000 45.000000 1 0
9 3 3 0 0 3.518853 1.000000 1 1
