experimentNumber initConf partConf #F 	 #T 	 Tr 	 Lr 	 STEP1_solution_found 	 STEP2_solution_found 
1 1 1 1 1 3.172084 1.111111 1 1
2 1 2 0 0 2.029655 1.000000 1 1
3 1 3 0 1 1.222238 0.562500 1 1
4 2 1 0 1 1.628644 0.782609 1 1
5 2 2 0 0 2.008962 1.000000 1 1
6 2 3 1 1 3.766644 1.260870 1 1
7 3 1 1 0 3.608044 1.562500 1 1
8 3 2 0 1 1.834673 0.777778 1 1
9 3 3 0 1 1.897697 0.875000 1 1
