experimentNumber initConf partConf #F 	 #T 	 Tr 	 Lr 	 STEP1_solution_found 	 STEP2_solution_found 
1 1 1 0 0 2.053953 1.000000 1 1
2 1 2 0 1 2.325507 0.709677 1 1
3 1 3 1 0 5.000419 1.521739 1 1
4 2 1 0 0 2.258713 1.000000 1 1
5 2 2 0 1 1.891307 0.923077 1 1
6 2 3 1 0 4.104907 1.000000 1 1
7 3 1 0 0 2.029488 1.000000 1 1
8 3 2 0 1 2.029022 0.823529 1 1
9 3 3 1 0 4.261608 1.000000 1 1
