experimentNumber initConf partConf #F 	 #T 	 Tr 	 Lr 	 STEP1_solution_found 	 STEP2_solution_found 
1 1 1 1 1 4.873766 1.294118 1 1
2 1 2 0 1 3.565657 0.882353 1 1
3 1 3 1 1 5.178308 1.294118 1 1
4 2 1 1 1 5.194686 1.136364 1 1
5 2 2 1 2 - - 1 0
6 2 3 1 2 7.591413 1.136364 1 1
7 3 1 0 0 3.853715 1.000000 1 1
8 3 2 0 1 - - 1 0
9 3 3 0 0 3.528296 1.000000 1 1
